item,itemLabel,minister,ministerLabel,began,ended
Q105271600,Ministry of Atomic Energy Industry,,,,
Q24863823,Ministry of Construction and Building-Materials Industry,,,,
Q24863611,Ministry of Culture,,,,
Q15507076,Ministry of Foreign Affairs of the Democratic People's Republic of Korea,Q113470538,Minister of Foreign Affairs of the Democratic People's Republic of Korea,1948,
Q789790,Ministry of Foreign Trade (Pyongyang),,,,
Q24863600,Ministry of Forestry,,,,
Q24863552,Ministry of Labor,,,,
Q24863579,Ministry of Light Industry,,,,
Q17010275,Ministry of Post and Telecommunications,,,,
Q24863876,Ministry of Public Health (North Korea),,,,
Q25842486,Ministry of State Construction Control,,,,
Q109464459,Ministry of State Natural Resources Development,,,,
Q698289,National Defence Commission,,,1972,2016
Q12616767,North Korean Ministry of Justice,,,,
